match_id,game_week,date,period,home_club_id,away_club_id,home_team,away_team,home_score,away_score,result
mpp_championship_match_2608283,2,2026-06-22T17:00:00.000Z,fullTime,mpp_championship_club_632,mpp_championship_club_515,Argentine,Autriche,2,0,H
mpp_championship_match_2608281,2,2026-06-22T21:00:00.000Z,fullTime,mpp_championship_club_368,mpp_championship_club_1800,France,Irak,3,0,H
mpp_championship_match_2608282,2,2026-06-23T00:00:00.000Z,fullTime,mpp_championship_club_363,mpp_championship_club_1226,Norvège,Sénégal,3,2,H
mpp_championship_match_2608284,2,2026-06-23T03:00:00.000Z,fullTime,mpp_championship_club_1843,mpp_championship_club_1215,Jordanie,Algérie,1,2,A
mpp_championship_match_2608285,2,2026-06-23T17:00:00.000Z,fullTime,mpp_championship_club_359,mpp_championship_club_1359,Portugal,Ouzbékistan,5,0,H
mpp_championship_match_2608287,2,2026-06-23T20:00:00.000Z,fullTime,mpp_championship_club_114,mpp_championship_club_1219,Angleterre,Ghana,0,0,D
mpp_championship_match_2608288,2,2026-06-23T23:00:00.000Z,fullTime,mpp_championship_club_1869,mpp_championship_club_535,Panama,Croatie,0,1,A
mpp_championship_match_2608286,2,2026-06-24T02:00:00.000Z,fullTime,mpp_championship_club_832,mpp_championship_club_1222,Colombie,RD Congo,1,0,H
mpp_championship_match_2608292,3,2026-06-24T19:00:00.000Z,fullTime,mpp_championship_club_537,mpp_championship_club_1873,Bosnie,Qatar,3,1,H
mpp_championship_match_2608291,3,2026-06-24T19:00:00.000Z,fullTime,mpp_championship_club_497,mpp_championship_club_597,Suisse,Canada,2,1,H
mpp_championship_match_2608294,3,2026-06-24T22:00:00.000Z,fullTime,mpp_championship_club_1057,mpp_championship_club_1327,Maroc,Haïti,4,2,H
mpp_championship_match_2608293,3,2026-06-24T22:00:00.000Z,fullTime,mpp_championship_club_115,mpp_championship_club_614,Écosse,Brésil,0,3,A
mpp_championship_match_2608289,3,2026-06-25T01:00:00.000Z,fullTime,mpp_championship_club_367,mpp_championship_club_659,Tchéquie,Mexique,0,3,A
mpp_championship_match_2608290,3,2026-06-25T01:00:00.000Z,fullTime,mpp_championship_club_522,mpp_championship_club_1041,Afrique du Sud,Corée du Sud,1,0,H
mpp_championship_match_2608298,3,2026-06-25T20:00:00.000Z,fullTime,mpp_championship_club_6512,mpp_championship_club_1221,Curaçao,Côte d’Ivoire,0,2,A
mpp_championship_match_2608297,3,2026-06-25T20:00:00.000Z,fullTime,mpp_championship_club_830,mpp_championship_club_357,Équateur,Allemagne,2,1,H
mpp_championship_match_2608300,3,2026-06-25T23:00:00.000Z,fullTime,mpp_championship_club_1266,mpp_championship_club_361,Japon,Suède,1,1,D
mpp_championship_match_2608299,3,2026-06-25T23:00:00.000Z,fullTime,mpp_championship_club_1224,mpp_championship_club_366,Tunisie,Pays-Bas,1,3,A
mpp_championship_match_2608296,3,2026-06-26T02:00:00.000Z,fullTime,mpp_championship_club_835,mpp_championship_club_575,Paraguay,Australie,0,0,D
mpp_championship_match_2608295,3,2026-06-26T02:00:00.000Z,fullTime,mpp_championship_club_362,mpp_championship_club_596,Turquie,États-Unis,3,2,H
mpp_championship_match_2608305,3,2026-06-26T19:00:00.000Z,fullTime,mpp_championship_club_363,mpp_championship_club_368,Norvège,France,1,4,A
mpp_championship_match_2608306,3,2026-06-26T19:00:00.000Z,fullTime,mpp_championship_club_1226,mpp_championship_club_1800,Sénégal,Irak,5,0,H
mpp_championship_match_2608304,3,2026-06-27T00:00:00.000Z,fullTime,mpp_championship_club_1529,mpp_championship_club_1264,Cap-Vert,Arabie saoudite,0,0,D
mpp_championship_match_2608303,3,2026-06-27T00:00:00.000Z,fullTime,mpp_championship_club_837,mpp_championship_club_118,Uruguay,Espagne,0,1,A
mpp_championship_match_2608302,3,2026-06-27T03:00:00.000Z,fullTime,mpp_championship_club_1225,mpp_championship_club_1042,Égypte,Iran,1,1,D
mpp_championship_match_2608301,3,2026-06-27T03:00:00.000Z,fullTime,mpp_championship_club_1804,mpp_championship_club_360,Nouvelle-Zélande,Belgique,1,5,A
mpp_championship_match_2608312,3,2026-06-27T21:00:00.000Z,fullTime,mpp_championship_club_535,mpp_championship_club_1219,Croatie,Ghana,2,1,H
mpp_championship_match_2608311,3,2026-06-27T21:00:00.000Z,fullTime,mpp_championship_club_1869,mpp_championship_club_114,Panama,Angleterre,0,2,A
mpp_championship_match_2608309,3,2026-06-27T23:30:00.000Z,fullTime,mpp_championship_club_832,mpp_championship_club_359,Colombie,Portugal,0,0,D
mpp_championship_match_2608310,3,2026-06-27T23:30:00.000Z,fullTime,mpp_championship_club_1222,mpp_championship_club_1359,RD Congo,Ouzbékistan,3,1,H
mpp_championship_match_2608308,3,2026-06-28T02:00:00.000Z,fullTime,mpp_championship_club_1215,mpp_championship_club_515,Algérie,Autriche,3,3,D
mpp_championship_match_2608307,3,2026-06-28T02:00:00.000Z,fullTime,mpp_championship_club_1843,mpp_championship_club_632,Jordanie,Argentine,1,3,A
mpp_championship_match_2608313,4,2026-06-28T19:00:00.000Z,fullTime,mpp_championship_club_522,mpp_championship_club_597,Afrique du Sud,Canada,0,1,A
mpp_championship_match_2608316,4,2026-06-29T17:00:00.000Z,fullTime,mpp_championship_club_614,mpp_championship_club_1266,Brésil,Japon,2,1,H
mpp_championship_match_2608314,4,2026-06-29T20:30:00.000Z,fullTime,mpp_championship_club_357,mpp_championship_club_835,Allemagne,Paraguay,1,1,D
mpp_championship_match_2608315,4,2026-06-30T01:00:00.000Z,fullTime,mpp_championship_club_366,mpp_championship_club_1057,Pays-Bas,Maroc,1,1,D
