game_week,user_id,username,gw_points,gw_good,gw_exact,gw_calculated,gw_rank
7,user_1387094,LePetitBourbon,0,0,0,,8
7,user_1406528,Samuel#2BXK1,0,0,0,,9
7,user_3663301,Jeandispasplus,0,0,0,,10
7,user_3737107,Gael_Monfils,0,0,0,,11
7,user_7477732,Djimitraillette,0,0,0,,12
7,user_7780698,TestMatchNul,0,0,0,,13
7,user_8510019,La-doune,0,0,0,,14
7,user_8524032,UJTHEGOAT,0,0,0,,15
7,user_8528276,Gulie_lovelefoot,0,0,0,,16
7,user_10266472,Nanou-lege,0,0,0,,17
7,user_11640165,Olie10,0,0,0,,18
8,user_134645,Tristan85110,119,1,0,,1
8,user_78584,ThierryPainDeMie,0,0,0,,2
8,user_498143,remikado,0,0,0,,3
8,user_1387094,LePetitBourbon,0,0,0,,4
8,user_1406528,Samuel#2BXK1,0,0,0,,5
8,user_2834762,CamilleC15,0,0,0,,6
8,user_3663301,Jeandispasplus,0,0,0,,7
8,user_3737107,Gael_Monfils,0,0,0,,8
8,user_7477732,Djimitraillette,0,0,0,,9
8,user_8353744,Manongtr,0,0,0,,10
8,user_8379079,CarlaLege,0,0,0,,11
8,user_8510019,La-doune,0,0,0,,12
8,user_8524032,UJTHEGOAT,0,0,0,,13
8,user_8528276,Gulie_lovelefoot,0,0,0,,14
8,user_10266472,Nanou-lege,0,0,0,,15
8,user_11640165,Olie10,0,0,0,,16
9,user_3663301,Jeandispasplus,180,1,0,,1
9,user_78584,ThierryPainDeMie,90,1,0,,2
9,user_127563,Alexciter,90,1,0,,3
9,user_134645,Tristan85110,90,1,0,,4
9,user_1387094,LePetitBourbon,90,1,0,,5
9,user_2834762,CamilleC15,90,1,0,,6
9,user_3737107,Gael_Monfils,90,1,0,,7
9,user_7477732,Djimitraillette,90,1,0,,8
9,user_8524032,UJTHEGOAT,90,1,0,,9
9,user_8528276,Gulie_lovelefoot,90,1,0,,10
9,user_10266472,Nanou-lege,90,1,0,,11
9,user_11640165,Olie10,90,1,0,,12
9,user_498143,remikado,0,0,0,,13
9,user_1406528,Samuel#2BXK1,0,0,0,,14
9,user_7780698,TestMatchNul,0,0,0,,15
9,user_8353744,Manongtr,0,0,0,,16
9,user_8379079,CarlaLege,0,0,0,,17
9,user_8510019,La-doune,0,0,0,,18
